n,name_ge,name_en,website,foundation_year,foundation_date
1,საქართველოს გასტრონომიის ასოციაცია,Gastronomic Association of Georgia(GAG),http://georgiangastronomy.ge/,11/2/18,2018
2,საქართველოს ეკოტურიზმის ასოციაცია,Georgian Ecotourism Association (GEA),https://ecotourism.ge/,5/12/12,2012
3,"საქართველოს სასტუმროების, რესტორნების და კაფეების ფედერაცია","Georgian Hotels, Restaurants and Cafe Federation ",http://www.horeka.ge/en/,,2018
4,საქართველოს გიდების ასოციაცია,Georgian Association of Guides (GGA),http://www.guides.ge/,,
5,საქართველოს გასტრონომიული ტურიზმის ბიზნეს ასოციაცია,Georgian Gastro Tourism Business Association(GTBA),http://gtba.ge/,12/1/19,2019
6,საქართველოს ტურიზმის ასოციაცია,Georgian Tourism Association (GTA),http://www.tourism-association.ge/,2/8/06,2006
7,საქართველოს ტურიზმის ნეთვორქი,Georgian Tourism Network (GTN),,,
8,ტურიზმის ინსტიტუტი,Tourism Institute,http://tourisminstitute.ge/ge/#home,2/19/17,2017
9,საქართველოს სერტიფიცირებული გიდების ასოციაცია,Sakartvelo's Certified Guides Association (SCGA),certified-guides.ge/,,2018
10,საქართველოს ტრადიციული რეწვის ასოციაცია,Georgian Craft Association (GCA),https://crafts.ge/,3/17/15,2015
11,საქართველოს ახალგაზრდა გიდების ასოციაცია,Georgian Association of Y.G.  (GAYG),http://geoguides.ge/en/home/,,
12,სამცხე-ჯავახეთის ტრადიციული მეღვინეობის ასოციაცია,Samtskhe-Javakheti Traditional Wine Association (SJTWA),http://meskheti.weebly.com/,,2014
13,საქართველოს სომელიეთა ასოციაცია,Georgian Sommelier Association (GSA),www.sommelier.ge/,"Jun, 2003",2003
14,გუდაურის ტურიზმის ასოციაცია,Gudauri Tourism Association,https://www.facebook.com/გუდაურის-ტურიზმის-ასოციაცია-Gudauri-Tourism-Association,,
15,ინკლუზიური ტურიზმის ცენტრი პარსა,Accessible Tourism & Universal Design Center- PARSA,http://www.atcp.ge/,6/16/10,2010
16,ბიოლოგიურ მეურნეობათა ასოციაცია ელკანა,ELKANA - Organic Farming & Rural Tourism Network in Georgia,http://www.elkana.org.ge/,10/6/94,1994
17,საერთაშორისო ბიზნესის განვითრების და ინვესტიციათა ხელშეწყობის ცენტრი,IBDIPC-International Business Development and Investment Promotion Center,https://ibdipc.wordpress.com/,,2005
18,აჭარის ავტონომიური რესპუბლიკის ტურიზმის ინდუსტრიის ფედერაცია,Tourism Industry Federation of Adjara,https://www.facebook.com/TIFAdjara,,
19,ICC საქართველო,ICC Georgia,www.icc.ge,,2002
20,APG საქართველო,APG Georgia,https://www.apg-ga.com/,,
21,საქართველოს გლემპინგის ასოციაცია,Georgian Glamping Association,https://www.facebook.com/GeorgianGlampingAssociation,10.26.2020 ,2020
22,საქარველოს შემომყვან ტურ-ოპერატორთა ასოციაცია ,Georgian Incoming Tour Operators Association,https://www.gitoa.ge/,,2007
23,საქართველოს გამყვანი ტურიზმის ასოციაცია,Georgian Outbound Tourism Association,http://gota.ge/,,2020
24,აჭარის ა.რ  ტურიზმის გიდების ასოციაცია,Guide Association of Ajara ,http://www.ajaraguides.com/,,2012
25,საქართველოს რესტორატორთა ასოციაცია,Georgian Restaurateurs Association,,,
26,საქართველოს ბიზნეს ტურიზმის ასოციაცია,Georgian Business Tourism Association,,,
27,საქართველოს ტურიზმის ინდუსტრიის ალიანსი,GTI Alliance,https://gtia.ge/,,2020
